high|T-3|,low|T-3|,close|T-3|,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
108784.8275,98014.0525,107707.75,109372.9909,98543.9819,108290.09,109315.6128,98492.28480000001,108233.28,110017.1083,99124.32530000001,108927.83
109372.9909,98543.9819,108290.09,109315.6128,98492.28480000001,108233.28,110017.1083,99124.32530000001,108927.83,110045.58020000001,99149.97820000001,108956.02
109315.6128,98492.28480000001,108233.28,110017.1083,99124.32530000001,108927.83,110045.58020000001,99149.97820000001,108956.02,111403.9393,100373.84629999999,110300.93
110017.1083,99124.32530000001,108927.83,110045.58020000001,99149.97820000001,108956.02,111403.9393,100373.84629999999,110300.93,111728.4927,100666.2657,110622.27
110045.58020000001,99149.97820000001,108956.02,111403.9393,100373.84629999999,110300.93,111728.4927,100666.2657,110622.27,112237.0075,101124.43250000001,111125.75
111403.9393,100373.84629999999,110300.93,111728.4927,100666.2657,110622.27,112237.0075,101124.43250000001,111125.75,112087.0023,100989.2793,110977.23
111728.4927,100666.2657,110622.27,112237.0075,101124.43250000001,111125.75,112087.0023,100989.2793,110977.23,111778.7301,100711.5291,110672.01
112237.0075,101124.43250000001,111125.75,112087.0023,100989.2793,110977.23,111778.7301,100711.5291,110672.01,112073.9127,100977.4857,110964.27
112087.0023,100989.2793,110977.23,111778.7301,100711.5291,110672.01,112073.9127,100977.4857,110964.27,113264.9148,102050.5668,112143.48
111778.7301,100711.5291,110672.01,112073.9127,100977.4857,110964.27,113264.9148,102050.5668,112143.48,113690.5086,102434.02260000001,112564.86
112073.9127,100977.4857,110964.27,113264.9148,102050.5668,112143.48,113690.5086,102434.02260000001,112564.86,113015.00039999999,101825.3964,111896.04
113264.9148,102050.5668,112143.48,113690.5086,102434.02260000001,112564.86,113015.00039999999,101825.3964,111896.04,113741.8166,102480.25060000001,112615.66
113690.5086,102434.02260000001,112564.86,113015.00039999999,101825.3964,111896.04,113741.8166,102480.25060000001,112615.66,115457.7965,104026.3315,114314.65
113015.00039999999,101825.3964,111896.04,113741.8166,102480.25060000001,112615.66,115457.7965,104026.3315,114314.65,116282.5625,104769.4375,115131.25
113741.8166,102480.25060000001,112615.66,115457.7965,104026.3315,114314.65,116282.5625,104769.4375,115131.25,116272.2908,104760.18280000001,115121.08
115457.7965,104026.3315,114314.65,116282.5625,104769.4375,115131.25,116272.2908,104760.18280000001,115121.08,116220.65960000001,104713.66360000001,115069.96
